PropertyID,Address,City,State,ZipCode,Type,Price,SquareFeet,Bedrooms,Bathrooms,AgentID
P000001,262 Holmes Walks Ave,Boston,MA,38105,Residential,378638,2980,4,2,A00051
P000002,8029 Sherry Squares Ln,Detroit,MI,89102,Commercial,1371523,27271,,6,A00033
P000003,9403 Shea Turnpike Ave,BALTIMORE,MD,43204,Residential,1618549,3183,4,5,A00055
P000004,7534 Juan Circles St,Miami,FL,89106,Commercial,484609,32057,,3,A00065
P000005,6938 Ashley Estates Pl,San Diego,CA,90805,Residential,1520772,1285,6,4,A00146
P000006,7610 David Locks St,FRESNO,CA,23455,Commercial,280294,10617,,10,A00021
P000007,2386 Anderson Land Ave,Jacksonville,FL,98102,Residential,708123,2547,6,1,A00036
P000008,4028 Eric Stream Ter,San Antonio,TX,76103,Commercial,1587294,30751,,7,A00058
P000009,6376 Campbell Hill Ct,Phoenix,AZ,43204,Residential,1779097,2076,2,3,A00060
P000010,7908 Stephanie Village Ct,Sacramento,CA,48201,Commercial,876784,40535,,8,A00095
P000011,147 Anthony Field Ter,San Antonio,TX,28201,Commercial,1242169,,,10,A00088
P000012,1142 BALLARD TURNPIKE DR,Baltimore,MD,46205,Residential,784409,,6,4,A00074
P000013,7779 Kimberly Manors St,Milwaukee,WI,78704,Commercial,353059,48286,,1,A00020
P000014,9875 Christina Oval Way,Los Angeles,CA,90002,Commercial,424929,45074,,4,A00092
P000015,5452 Garrett Walk Dr,Detroit,MI,48202,Residential,1092150,4793,1,1,A00049
P000016,7586 James Way Rd,Charlotte,NC,37205,Commercial,647406,33098,,,A00123
P000017,2777 Oneill Row Ct,Baltimore,MD,19111,Commercial,708296,48519,,3,A00061
P000018,1189 Aaron Drives Blvd,Baltimore,MD,32205,Residential,1632087,2701,6,4,A00031
P000019,8591 Justin Road Blvd,Detroit,MI,78701,Residential,845641,618,4,5,A00090
P000020,9965 George Garden Blvd,nashville,TN,33125,Residential,1216259,5883,5,2,A00112
P000021,3360 Katherine Crossroad Ct,Dallas,TX,27606,Commercial,449125,28596,,8,A00103
P000022,5021 Evelyn Forge Ter,Austin,TX,89107,Commercial,1725923,30460,,4,A00044
P000023,447 Reyes Path Blvd,San Diego,CA,33128,Residential,252530,4606,3,3,A00036
P000024,7186 Steven Place Way,MEMPHIS,TN,78209,Commercial,864840,,,7,A00076
P000025,9582 Stephanie Estate Way,Baltimore,MD,32206,Residential,600041,5731,6,1,A00050
P000026,9140 Jordan Drives Ter,Jacksonville,FL,90001,Commercial,1151651,49053,,9,A00033
P000027,5511 Bradley Passage Way,Seattle,WA,92105,Residential,491008,5638,3,1,A00003
P000028,9655 Ayers Stream Ln,Jacksonville,FL,78712,Residential,624045,3583,6,5,A00044
P000029,2865 Thomas Forge Ave,San Antonio,TX,46202,Residential,1087756,880,1,5,A00054
P000030,8509 Monique View Dr,Phoenix,AZ,95817,Commercial,747033,3060,,2,A00083
P000031,5128 Savannah Station Way,philadelphia,PA,33109,Residential,1920147,3672,1,1,A00087
P000032,6746 Peterson Orchard St,Baltimore,MD,78204,Commercial,975516,31599,,7,A00117
P000033,5388 Turner Ridge Way,San Francisco,CA,87107,Residential,380304,943,6,2,A00089
P000034,9889 Robinson Squares Way,Mesa,AZ,95816,Commercial,1684421,31235,,5,A00123
P000035,3972 Joshua Creek Pl,Virginia Beach,VA,89108,Commercial,1133588,27332,,4,A00095
P000036,2966 Melissa Fort Way,Louisville,KY,10012,Commercial,334520,13408,,7,A00094
P000037,348 Nichols Neck Ln,San Antonio,TX,92102,Commercial,379383,17379,,,A00069
P000038,5118 Christopher Expressway Ter,Denver,CO,85201,Commercial,1691608,41840,,6,A00050
P000039,2539 Khan Mountains Ln,Baltimore,MD,46202,Commercial,374219,33189,,7,A00033
P000040,6275 Jared Pike Blvd,Indianapolis,IN,92110,Residential,1855258,1983,4,2,A00066
P000041,6856 Graves Knoll Way,Philadelphia,PA,75209,Commercial,250071,21614,,8,A00038
P000042,7225 Jeffery Lakes Way,Sacramento,CA,75201,Residential,765505,,3,2,A00094
P000043,7853 Hardin Alley Ln,Charlotte,NC,92102,Commercial,1563761,10204,,2,A00105
P000044,7477 Montgomery Parkway Pl,Mesa,AZ,38107,Commercial,1693221,22958,,9,A00099
P000045,3511 Melissa Skyway Pl,Denver,CO,64102,Commercial,1198009,28365,,3,A00130
P000046,2052 Rhonda Mission Way,San Diego,CA,93711,Commercial,1873730,,,9,A00009
P000047,514 Finley Light Blvd,Los Angeles,CA,23456,Residential,1609847,1648,1,3,A00109
P000048,6207 Castro Coves Pl,MILWAUKEE,WI,46218,Residential,205431,1821,4,4,A00086
P000049,7387 Jimmy Inlet Pl,Kansas City,MO,75209,Residential,901542,3235,2,5,A00112
P000050,1401 Harris Shoal Way,Chicago,IL,27601,Residential,1078336,2216,6,4,A00016
P000051,4464 Mckay Well Dr,Philadelphia,PA,76107,Residential,1059556,5570,4,4,A00152
P000052,6689 Robert Plains Dr,Boston,MA,37206,Residential,1653900,1332,5,1,A00005
P000053,8956 Bradley Road Way,Jacksonville,FL,21205,Commercial,358482,43931,,,A00081
P000054,8795 Bryan Well Pl,Charlotte,NC,77009,Residential,1320970,5428,3,5,A00150
P000055,8084 Rachel Corner Ter,new york,NY,85001,Residential,886657,2797,3,4,A00129
P000056,1358 Mann Field Way,Miami,FL,23454,Commercial,666120,28219,,1,A00123
P000057,7820 Juan Inlet Pl,Fort Worth,TX,21207,Residential,1514773,1147,1,5,A00106
P000058,6328 Lauren View Way,Jacksonville,FL,85705,Residential,815940,3799,6,4,A00053
P000059,3404 Elizabeth Wall Blvd,san francisco,CA,40204,Residential,188812,1772,2,5,A00008
P000060,4222 Ryan Course Pl,Boston,MA,2104,Commercial,1296957,33646,,6,A00027
P000061,5805 Pollard Spurs Ln,San Antonio,TX,94105,Commercial,445827,15579,,4,A00015
P000062,8340 Powell Underpass Ct,Fort Worth,TX,78205,Residential,236084,2591,2,3,A00012
P000063,6259 Victor Passage Blvd,Long Beach,CA,95816,Residential,826279,,5,5,A00010
P000064,819 Barron Skyway Ln,Detroit,MI,38106,Residential,1279950,849,6,4,A00140
P000065,2279 Conway Drive Ct,Chicago,IL,76106,Commercial,819238,44357,,6,A00012
P000066,2197 Clayton Prairie Dr, San Francisco ,CA,23452,Residential,1547551,919,6,4,A00032
P000067,8964 Kathryn Club St,Albuquerque,NM,90007,Commercial,1947615,37120,,3,A00027
P000068,8285 Dana Villages Ln,Colorado Springs,CO,27603,Residential,988291,2562,3,2,A00026
P000069,8565 Holly Mountain Ln,Virginia Beach,VA,94101,Commercial,1422301,25294,,8,A00126
P000070,448 LISA INLET LN,Fresno,CA,76107,Residential,1991854,4382,3,2,A00011
P000071,4554 Goodman Road Way,Columbus,OH,40202,Commercial,734651,33358,,4,A00015
P000072,9140 Kirk Bypass Dr,VIRGINIA BEACH,VA,48203,Commercial,752834,19382,,10,A00086
P000073,860 Victoria Pines Rd,Colorado Springs,CO,85704,Commercial,1266710,,,4,A00114
P000074,5708 TODD MANOR RD,Milwaukee,WI,77001,Commercial,1957872,29979,,10,A00097
P000075,8583 Garner Mountains Rd,Columbus,OH,89101,Commercial,1062168,10979,,,A00119
P000076,1260 Devin Lane St,Indianapolis,IN,95814,Residential,550071,1974,4,4,A00090
P000077,2704 COLLIER VIADUCT DR,Raleigh,NC,2110,Residential,1839718,5567,3,5,A00147
P000078,3393 Newman Neck Dr,Houston ,TX,87103,Residential,975743,906,5,4,A00091
P000079,3342 Richard Trail Dr,Portland,OR,23458,Commercial,651920,3006,,7,A00139
P000080,7581 Johnson Hill Ln,Omaha,NE,85703,Commercial,938991,17298,,5,A00068
P000081,5237 Thomas Vista St,Charlotte,NC,93704,Residential,1594943,,6,2,A00098
P000082,535 Linda Loop Ave,Colorado Springs,CO,19107,Residential,920730,4253,5,1,A00138
P000083,5875 Nunez Mountain Rd,Houston,TX,60603,Residential,103186,1429,,5,A00007
P000084,3259 william hill ter,San Antonio,TX,53206,Residential,533627,,1,2,A00033
P000085,9807 Drew Key Ln,Albuquerque,NM,93650,Commercial,1723600,28705,,9,A00091
P000086,9785 Jonathan Station Dr,Long Beach,CA,48203,Residential,325413,5344,3,1,A00084
P000087,5272 Weeks Common Ln,San Francisco,CA,64112,Residential,491607,3924,3,4,A00033
P000088,6461 joseph plaza ave,sacramento,CA,27604,Residential,1462135,922,1,4,A00070
P000089,8111 Brandy Mountains Dr,Fresno,CA,90803,Commercial,1858841,,,10,A00131
P000090,6206 Katherine Coves Ave,Philadelphia,PA,95818,Commercial,838467,29531,,10,A00142
P000091,3163 KELLY TERRACE BLVD,Colorado Springs,CO,94105,Commercial,1995948,43824,,6,A00049
P000092,6016 NOAH RAPID RD,Mesa,AZ,46214,Residential,852312,3324,5,5,A00040
P000093,2289 Jensen Passage Dr,San Antonio,TX,77002,Residential,231771,2310,6,4,A00005
P000094,764 Rodriguez Center Way,Baltimore,MD,95821,Commercial,321126,,,4,A00100
P000095,5095 Kristi Port Ave,TUCSON,AZ,64108,Commercial,511421,1888,,2,A00103
P000096,3830 Hubbard Locks Blvd,Long Beach,CA,94103,Commercial,1461550,28019,,9,A00062
P000097,311 Jennifer Drives Dr,Columbus,OH,78702,Commercial,1118355,33034,,9,A00153
P000098,7074 Henderson Mall Ave,philadelphia,PA,46202,Residential,419933,4859,6,1,A00044
P000099,7808 Valerie Trail Pl,Denver,CO,80911,Residential,923953,,5,5,A00038
P000100,694 Avila Place Way,Las Vegas,NV,78705,Commercial,1956428,5655,,,A00121
P000101,5058 Laurie Divide Dr,Miami,FL,90008,Residential,86077,5332,5,3,A00115
P000102,2070 Brenda Corners Ln,Detroit,MI,53203,Commercial,638481,7126,,6,A00154
P000103,4806 Richards Forge Pl,Denver,CO,37202,Commercial,714659,7988,,2,A00003
P000104,377 Anna Dam Ave,Albuquerque,NM,97206,Residential,513494,4344,3,2,A00126
P000105,3404 Davis Grove Dr,San Diego,CA,32205,Commercial,235627,34591,,4,A00116
P000106,9852 Allen Alley Rd,Atlanta,GA,38108,Commercial,1369491,1823,,6,A00128
P000107,9236 Anderson Lodge Ave,Seattle,WA,85205,Commercial,1944980,33344,,7,A00047
P000108,2889 lawson lock ct,Detroit,MI,76101,Residential,630033,3407,1,5,A00011
P000109,7598 Christopher Unions Ct,Baltimore,MD,94103,Commercial,917368,30893,,7,A00054
P000110,2213 Charles Summit Ct,Sacramento,CA,46214,Commercial,983670,6471,,7,A00015
P000111,3411 Richmond Pike Ln,Albuquerque,NM,37203,Residential,454805,2278,2,,A00055
P000112,4371 Elizabeth Gateway Ave,Dallas,TX,89105,Commercial,591332,35933,,6,A00100
